name_lower	name	canonical	known_chain	count
canyon manor townhomes	Canyon Manor Townhomes			9
volksbank bitburg eg	Volksbank Bitburg eG			9
plaza de la juventud	Plaza de la Juventud			9
pirate ship	Pirate Ship			9
hackberry cemetery	Hackberry Cemetery			9
al baik	Al Baik			9
rosenpark	Rosenpark			9
pizzeria caruso	Pizzeria Caruso			9
зооветснаб	Зооветснаб			9
inmotion entertainment	Inmotion Entertainment			9
hamburguesería	Hamburguesería			9
lyon park	Lyon Park			9
silver oaks	Silver Oaks			9
кофе с собой	Кофе с собой			9
roman catholic cemetery	Roman Catholic Cemetery			9
st patrick's catholic primary school	St Patrick's Catholic Primary School			9
matico	Matico			9
igreja de são domingos	Igreja de São Domingos			9
arbor park	Arbor Park			9
szarotka	Szarotka			9
golden fork	Golden Fork			9
cupcakes	Cupcakes			9
knappschaft	Knappschaft			9
a-block	A-Block			9
agence postale	Agence postale			9
gedächtniskapelle	Gedächtniskapelle			9
emde	Emde			9
ферма крс	ферма КРС			9
dockx	Dockx			9
docks	Docks			9
main bus station	Main Bus Station			9
kamer van koophandel	Kamer van Koophandel			9
traylor cemetery	Traylor Cemetery			9
l'kafa	L'Kafa			9
millenium green	Millenium Green			9
daily market	Daily Market			9
new hong kong	New Hong Kong			9
saxon house	Saxon House			9
uprava	Uprava			9
신선횟집 (sinseon fish restaurant)	신선횟집 (Sinseon Fish Restaurant)			9
хранилище	Хранилище			9
rotary	Rotary			9
privilege	Privilege			9
#11 tee	#11 tee			9
station service super u	Station Service Super U			9
ltc ijsselweide	LTC IJsselweide			9
kosárlabdapálya	Kosárlabdapálya			9
lumber yard	Lumber Yard			9
lavomatic	Lavomatic			9
separacion	Separacion			9
pine forest	Pine Forest			9
les lutins	Les Lutins			9
月の雫	月の雫			9
apartment building	Apartment Building			9
мемориал погибшим в вов	Мемориал погибшим в ВОВ			9
fioraio	Fioraio			9
al manar	Al Manar			9
lauma	Lauma			9
mauzoleum	Mauzoleum			9
türmchen	Türmchen			9
cava di argilla	Cava di argilla			9
party land	Party Land			9
dean park	Dean Park			9
juliana	Juliana			9
あおば幼稚園	あおば幼稚園			9
르네상스모텔 (renaissance motel)	르네상스모텔 (Renaissance Motel)			9
wiesender	Wiesender			9
prvá stavebná sporiteľňa	Prvá stavebná sporiteľňa			9
piazza mercato	Piazza Mercato			9
église saint-côme et saint-damien	Église Saint-Côme et Saint-Damien			9
第9座 tower 9	第9座 Tower 9			9
national bank of greece	National Bank of Greece			9
mesjid nurul jihad	Mesjid Nurul Jihad			9
pensiune	Pensiune			9
pestalozzi schule	Pestalozzi Schule			9
동방한의원 (dongbang oriental medicine clinic)	동방한의원 (Dongbang Oriental Medicine Clinic)			9
église sainte-aldegonde	Église Sainte-Aldegonde			9
bosch rexroth ag	Bosch Rexroth AG			9
poissonerie	Poissonerie			9
мир одежды	Мир одежды			9
cancha de béisbol	Cancha de Béisbol			9
színpad	Színpad			9
koerich	Koerich			9
ranger	Ranger			9
istálló	Istálló			9
museo del ferrocarril	Museo del Ferrocarril			9
собор александра невского	Собор Александра Невского			9
spring creek barbeque	Spring Creek Barbeque			9
guillermo gonza�lez camarena	Guillermo Gonza�Lez Camarena			9
жан-жак	Жан-Жак			9
old church cemetery	Old Church Cemetery			9
много цветов	Много цветов			9
baugebiet	Baugebiet			9
у реки	У Реки			9
blaue lagune	Blaue Lagune			9
1&1 internet ag	1&1 Internet AG			9
radio tower	radio tower			9
baracca	Baracca			9
богиня	Богиня			9
сливки	Сливки			9
communauté de communes	Communauté de Communes			9
nh kerk	NH Kerk			9
limelight	Limelight			9
rwe bücherschrank	RWE Bücherschrank			9
blackbird mine	Blackbird Mine			9
бл 19	БЛ 19			9
бл 15	БЛ 15			9
ペッパーランチ	ペッパーランチ			9
saint nicholas russian orthodox church	Saint Nicholas Russian Orthodox Church			9
elan aqueduct valve house	Elan Aqueduct valve house			9
little flock cemetery	Little Flock Cemetery			9
baby city	Baby City			9
salon ingrid	Salon Ingrid			9
bäckerei weiss	Bäckerei Weiss			9
фудмаркет	ФудМаркет			9
мичуринский	Мичуринский			9
botillería	Botillería			9
dépanneur du coin	Dépanneur du Coin			9
getränkeladen	Getränkeladen			9
military barracks	military barracks			9
león	León			9
community choice credit union	Community Choice Credit Union			9
liquidation world	Liquidation World			9
budget truck rental	Budget Truck Rental			9
neuhausen	Neuhausen			9
armstrong school	Armstrong School			9
축구장	축구장			9
cojean	Cojean			9
1-12	1-12			9
el negro	El Negro			9
hair & more	Hair & More			9
woori bank	Woori Bank			9
капучино	Капучино			9
el monasterio	El Monasterio			9
the marquis	The Marquis			9
спринт	Спринт			9
marvin garden apartments	Marvin Garden Apartments			9
капустино	Капустино			9
autoland	Autoland			9
flatt road houses	Flatt Road Houses			9
multifunktionsfeld	Multifunktionsfeld			9
waterford park	Waterford Park			9
tempus	Tempus			9
церква собору пресвятої богородиці	Церква Собору Пресвятої Богородиці			9
st. anthony's church	St. Anthony's Church			9
sutherlands	Sutherlands			9
poterie	Poterie			9
george house	George House			9
colegio de la salle	Colegio de La Salle			9
ok便利店 circle k	OK便利店 Circle K			9
latvijas pasts	Latvijas Pasts			9
st. vincent de paul thrift store	St. Vincent de Paul Thrift Store			9
sails	Sails			9
sacajawea park	Sacajawea Park			9
irrigation department quaters	Irrigation department Quaters			9
leithaau	Leithaau			9
kapell	Kapell			9
плац	Плац			9
el nacional	El Nacional			9
villa stella	Villa Stella			9
s&s	S&S			9
3-4	3-4			9
truevine church	Truevine Church			9
heiko höft tischlerei & transporte gmbh & co. kg	Heiko Höft Tischlerei & Transporte GmbH & Co. KG			9
mobile store	Mobile Store			9
saint michael's school	Saint Michael's School			9
porcherie	Porcherie			9
兰州拉面	兰州拉面			9
jukebox	Jukebox			9
panta rei	Panta Rei			9
columbia buffer strip property	Columbia Buffer Strip Property			9
ai	Ai			9
rock springs baptist church	Rock Springs Baptist Church			9
서산경찰서 (seosan police station)	서산경찰서 (Seosan Police Station)			9
eiheraldea	Eiheraldea			9
улица мырзагалиева	улица Мырзагалиева			9
blue river church	Blue River Church			9
покупай	Покупай			9
m.bunker aircraft	M.Bunker Aircraft			9
avalon school	Avalon School			9
수평선횟집 (supyeongseon fish restaurant)	수평선횟집 (Supyeongseon Fish Restaurant)			9
smpn 2 barombong	SMPN 2 Barombong			9
kings cemetery	Kings Cemetery			9
torbogen	Torbogen			9
wetterhütte	Wetterhütte			9
annenhof	Annenhof			9
liberty center	Liberty Center			9
kaplnka sedembolestnej panny márie	Kaplnka Sedembolestnej Panny Márie			9
appâtame	Appâtame			9
la guitarra	La Guitarra			9
emmanuel school	Emmanuel School			9
t25	T25			9
abdi	Abdi			9
queen elizabeth hospital	Queen Elizabeth Hospital			9
大和保育園	大和保育園			9
salem high school	Salem High School			9
서부경찰서 (seobu police station)	서부경찰서 (Seobu Police Station)			9
moyce townhouse	Moyce Townhouse			9
csm	CSM			9
csb	CSB			9
korty	Korty			9
bellevue baptist church	Bellevue Baptist Church			9
carlisle park	Carlisle Park			9
villa real	Villa Real			9
møbelringen	Møbelringen			9
rahn	Rahn			9
altes gefängnis	Altes Gefängnis			9
mammoth point	Mammoth Point			9
arboeko	ARBOEKO			9
市立長浜小学校	市立長浜小学校			9
nichols school	Nichols School			9
église saint-servais	Église Saint-Servais			9
pax christi	Pax Christi			9
san miguel brewery	San Miguel Brewery			9
hollywood pizza	Hollywood Pizza			9
thai thai	Thai Thai			9
school number 23 (historical)	School Number 23 (historical)			9
профессионально-технический колледж	Профессионально-технический колледж			9
döner-imbiss	Döner-Imbiss			9
